nome,sku,quantidade,total,porcentagem_das_vendas
"Protetor solar em bastão SKIN1004 Madagascar Centella Hyalu-Cica Silky Fit Sun Stick 20g",GYXLUFTSU,3,630,0.1
"Cleansing Balm CLEAN IT ZERO Banila Co 100g",FQ7UFNQNX,3,516,0.08
"Máscara Labial noturna Lip Sleeping Mask Apple Lime 20g",J2HY6Z4TM,3,480,0.07
"Creme p/ área dos olhos com retinal CKD Retinal 4X Guasha Eyecream 30ml",YF9P7833T,3,900,0.14
"Sérum facial firmador anti-idade Abib Jericho Rose Bifida Serum Firming Drop 50ml",DZZ242RYA,3,685.53,0.1
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 4.5g (Mini) 33N (Macchiato)",4FXRY2KRN,3,755.73,0.11
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 24W (Soft Beige)",CFUMKQ4ZR,3,1071.73,0.16
"Tônico Mixsoon Soondy Centella Asiatica Essence 100ml",BPNK4P8K4,3,896.58,0.14
"Tônico facial Mediheal Toner Pads 170ml Roxo - PDRN Lifting",6YZFC3WLF,3,721,0.11
"Óleo de limpeza facial Bioré Cleansing Oil 150ml",6XLGXR2JV,3,202.73,0.03
"Creme hidratante reparador La Roche Posay Cicaplast Baume B5 100ml",ANGPHA6WR,3,660,0.1
"Creme hidratante calmante Torriden Balanceful Cica Cream 80ml",D44FBVQ5M,3,661.5,0.1
"Máscara facial Missha Airy Fit Sheet Mask Aloe",2K269J5WV,3,149.7,0.02
"Óleo reparador capilar Mise En Scene Perfect Serum 80ml Styling",V3FXNVY5G,3,453.63,0.07
"Sérum facial Vitamina C Goodal Green Tangerine Vita C Dark Spot Care Serum 40ml",G6C9ZNL22,3,798.9,0.12
"Sérum facial Innisfree Retinol Cica Repair Ampoule 30ml",EXRVU2789,3,1019.4,0.15
"Sérum facial calmante com ácido azeláico ANUA Azelaic Acid 15 Intense Calming Serum 30ml",KZBRX8Q9Z,3,1041,0.16
"Kit Experiência History of Whoo Gongjinhyang Soo Vital Mini Set",K959DAHYZ,3,488,0.07
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 21C Cool Ivory",W8H7SJSWN,3,899.4,0.14
"Sérum facial de retinol COSRX The Retinol 0.5 Oil 20ml",CQDP5XYPC,3,705,0.11
"Creme facial hidratante corretor de cor Dr. Jart+ Cicapair  Tiger Grass Color Correcting Treatment SPF 30 50ml",2F67SB6E8,3,908.3,0.14
"Tônico facial Some by Mi AHA-BHA-PHA 30 Days Miracle Toner 30ml",4F4QC79KU,3,453.9,0.07
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 27N (Camel)",KNNWQT6T9,3,951.76,0.14
"Corretivo facial Tfit Cover Up Pro Concealer 15g Neutral",XKLK6A9BU,3,533,0.08
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 29N Natural Beige",4NMDMT3UR,3,803.46,0.12
"Óleo reparador capilar Mise En Scene Perfect Serum 80ml Super Rich",28BVC7BBN,3,502.32,0.08
"Sérum facial calmante Purito Seoul Wonder Releaf Centella Serum Unscented 60ml",QJ7WMPMDS,3,568.4,0.09
"Óleo reparador capilar Mise En Scene Perfect Serum 80ml Original",PKM9RE95F,3,444.78,0.07
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 22N Shell Beige",7ZHYQ8HAK,3,899.4,0.14
"Creme p/ olhos AHC Ten Revolution Real Eye Cream 30ml",9SL8EKKSE,3,370.95,0.06
"Tônico facial Cosrx AHA BHA Clarifying Treatment Toner 50ml",Z5Q86PWJU,3,284.3,0.04
"Tônico facial TIRTIR Milk Skin Toner Original e Light 150ml Light",EUU72QSFX,3,1093.42,0.17
"Sérum com Ácido Hialurônico Mixsoon Glacier Water Hyaluronic Acid Serum 100ml",CE5TEEU2B,3,886,0.13
"Máscara para olhos com PDRN e retinal Abib PDRN Retinal Eye Patch Glow Jelly 60 patches",M4RQ7AEH6,3,599.76,0.09
"Creme sérum clareador 9Wishes White Tone Up Body Serum 150ml",FWB47DYBJ,3,830.79,0.13
"Sérum facial com microagulhamento VT Cosmetics Sangue de Dragão Red Booster Reedle Shot 100/300/700 50ml 100",KES5Y9CZT,3,977.2,0.15
"Gel de limpeza facial com mucina de caracol Advanced Snail Mucin Power Gel Cleanser 150ml",NNX9XEXMG,3,559.97,0.08
"Limpador facial Beauty of Joseon Green Plum Refreshing Cleanser 100ml",XNCUFFTBK,3,540,0.08
"Sabonete facial EQQUALBERRY Daily Glow Cleanser 210ml",CNUEGJJSG,3,713.7,0.11
"Sérum facial The Ordinary Buffet + Copper Peptides 1% 30ml",DE3GBT582,3,871,0.13
"Máscara facial Missha Airy Fit Sheet Mask Romã (Pomegranate)",WW723WAYV,3,149.7,0.02
"Espuma de limpeza facial Hanyul Pure Artemisia Calming Foam Cleanser 120g",QV6SXN6Y6,3,779.4,0.12
"Sérum facial I'm From Mugwort Artemisia Essence 30ml e 160ml 160ml",JVZP4V5MZ,3,484,0.07
"Creme de Retinol COSRX The Retinol 0.1 Cream 20ml",4AHEZPVZU,3,627.26,0.09
"Máscara facial Mediheal Essential Facial Sheet Mask 30g Collagen",ZG8RJNZDF,3,252,0.04
"Tônico facial SKINFOOD Carrot Carotene Calming Water Toner Pad 250g",TG4GSXTJ8,3,809.7,0.12
"Protetor solar em bastão AHC Natural Perfection Double Shield Sun Stick SPF50+ PA++++ Blue 22g",QNFCAARED,3,394.26,0.06
"Sérum facial Dr. M Exosome Cell Rejuvin Ampoule 50ml",PSR6RQ8L5,3,899.4,0.14
"Kit Teste TIRTIR Mask Fit Red Cushion Foundation Cushion com 1g 6 sachês Medium Deep (33C á 34W)",EKEQE35WU,3,498,0.08
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Hyaluronic Acid",WJYHBT9GG,3,33,0
"Máscara facial Mediheal Essential Facial Sheet Mask 30g Teatree",QLYMR2N2Z,3,252,0.04
"Máscara facial Missha Airy Fit Sheet Mask Mel (Honey)",W2BTKCV8S,3,149.7,0.02
"Sabonete de limpeza facial Always be Pure Mooncat Real Green Tea Pore Deep Cleanser 100ml",ELJHL77UP,3,464.8,0.07
"Hidratante facial Farmstay Snail Repair Cream 100ml",M87BH2YQE,3,505.24,0.08
"Máscara facial Mediheal Essential Facial Sheet Mask 30g Hyaluronate Watermide",NMSGY28YC,3,252,0.04
"Protetor solar líquido com Centella Asiatica Mixsoon Centella Sun Cream 50g",3YYFK8TFE,3,600,0.09
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 19C Petal",HBE9FYUX6,3,899.4,0.14
"Lip Tint Romand Juicy Lasting Tint 5.5g 29",SLG6TJJME,2,174.44,0.03
"Protetor solar em bastão AHC Natural Perfection Double Shield Sun Stick SPF50+ PA++++ 22g",VLNX3K6VW,2,220,0.03
"Gel Calmante The Face Shop Aloe Jeju Aloe 99% Soothing Gel 300ml",Y2M4Q9G4D,2,343,0.05
"Creme p/ olhos AHC Premier Ampoule In Eye Cream 12ml",7W9HR5XGV,2,241.14,0.04
"Kit Experiência microagulhamento em creme VT Cosmetics Special Reedle Shot 100 Variety Kit 10mlx12pcs",B33D9BFVW,2,430,0.07
"Óleo para cabelo &Honey Deep Moist 3.0",DZAB3WY8Y,2,700,0.11
"Creme hidratante facial clareador de manchas Numbuzin Nº 5+ Vitamin Glutathione Dark Spot Laser Cream 50ml",VZQRU77H3,2,719.6,0.11
"Sérum facial reparador Krave Beauty Great Barrier Relief Soothing Serum 40ml",MQWU6YQ2L,2,326.26,0.05
"Creme p/ olhos AHC Premier Ampoule In Eye Cream 40ml",NRTD43ZQS,2,387.91,0.06
"Base Cushion Missha Velvet Finish Cushion SPF50+ PA+++ 15g Nº 23",BS5W5Q7RV,2,329.14,0.05
"Gel de limpeza facial I'm From Mugwort Gel Cleanser 150ml",VSKAYBWJY,2,480,0.07
"Creme hidratante facial reparador Medicube Super Cica Cream 50ml",5KZ7TUKBV,2,498,0.08
"Óleo de limpeza facial de arroz preto Haruharu Wonder Black Rice Moisture Deep Cleansing Oil 150ml",A9675HX56,2,475.32,0.07
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 13N Fair Ivory",VREZ8N72M,2,413.72,0.06
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Strawberry",F9EB72VQX,2,0,0
"Protetor solar em bastão Tocobo Cotton Soft Sun Stick SPF50+ PA++++",P34ZVDTH3,2,294.9,0.04
"Sérum facial com Vitamina C COSRX The Vitamin C 13 Serum 20ml",HFRE2G2E3,2,440.3,0.07
"Tônico facial VT Cosmetics Reedle Shot Synergy Sparkling Toner 150ml Com microagulhas",VLHC3M7VU,2,276,0.04
"Máscara facial Always Be Pure Mooncat Rich Moist Green Tea Sleeping Mask 50ml",H4PURUMBT,2,254,0.04
"Ampola Facial SKIN1004 Madagascar Centella Probio-Cica Intensive Ampoule 50ml",M93UR2BA6,2,599.8,0.09
"Máscara p/ olhos Farmstay Hydrogel Eye Patch Collagen Waterfull",VK5GLGSRZ,2,309.8,0.05
"Máscara p/ olhos Farmstay Hydrogel Eye Patch Rose & Ceramides",GKVKFSJQ4,2,255.83,0.04
"Bálsamo de limpeza facial Pyunkang Yul Deep Clear Cleansing balm 100ml",2ZZEJ7VVE,2,500,0.08
"Bálsamo de limpeza facial House of Hur Midnight Soothing Cleansing Balm 50ml",ZTB977FBF,2,519.4,0.08
"Sérum facial COSRX com mucina de caracol Advanced Snail Radiance Dual Essence 80ml",5S8AU4G7V,2,515.8,0.08
"Tônico facial Pyunkang Yul Essence Toner 100ml",ZS4BKMYKU,2,268.41,0.04
"Sérum facial COSRX Advanced Snail 96 Mucin Power Essence 30ml",K7EPSWTKN,2,300.51,0.05
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 43N (Deep Cocoa)",8YKRL7TXT,2,503.2,0.08
"Kit Shampoo Condicionador e Máscara capilar Mise En Scene Perfect Serum 680mlx330ml Shampoo 680ml",A8RPWCZAH,2,630,0.1
"Máscara facial noturna Mary&May Calendula Peptide Ageless Sleeping Mask 110g",SW9XR8HP8,2,571.8,0.09
"Tônico facial EQQUALBERRY Swimming Pool Daily Facial Toner 300ml",S2M3NNTWQ,2,578,0.09
"Sérum facial anti idade com PDRN Rejuran Healer Dual Effect Ampoule C-PDRN 0.5% Anti Aging Solution 30ml",HM8J5EJVW,2,799.6,0.12
"Lip Tint Romand Juicy Lasting Tint 5.5g 16",H9X9S7ELF,2,338,0.05
"Corretivo facial Tfit Cover Up Pro Concealer 15g Cool",T67J6TQG9,2,225,0.03
"Máscara facial VT Cosmetics Cica Daily Soothing Sheet Mask - 350g",398MK3LHZ,2,479.84,0.07
"Sérum facial antioxidante The Ordinary Pycnogenol 5% 15ml",ADCLKURA8,2,451.8,0.07
"Sérum facial com ácído salícilico The Ordinary Salicylic Acid 2% Solution 30ml",K4DN33KBC,2,400,0.06
"Tônico facial Pyunkang Yul Essence Toner 200ml",3G2RH9YTH,2,516.02,0.08
"Creme hidratante facial com PDRN Genabelle PDRN Rejuvenating Cream 70ml",XRFX64UAB,2,500,0.08
"Kit Sérum facial Dr. G Red Blemish Bakuchiol PDRN Pore Jet Soro 30ml + Refil 30ml e Creme 10ml",DN7KYEL4N,2,558.9,0.08
"Óleo de limpeza facial Manyo Pure Cleansing Oil Deep Clean 200ml",KGEU5LJPF,2,479.8,0.07
"Máscara facial Dr. Jart+ Cryo Rubber Sheet Mask 44g Firming Collagen",8KZCUWSCA,2,396,0.06
"Tônico facial Mediheal Toner Pads 170ml Azul - Watermide",4KEDPBGLZ,2,515,0.08
"Sérum facial com Vitamina C EQQUALBERRY Vitamin Illuminating Serum 30ml",KPJVBKVB8,2,559.8,0.08
"Tônico facial Mediheal Toner Pads 170ml Amarelo - Vitamide Brightening",2LR9BYN6U,2,508,0.08
"Hidratante facial de ácido hialuronico Torriden DIVE-IN Low Molecular Hyaluronic Acid Soothing Cream 100ml",KTPSUL5LX,2,600,0.09
"Creme hidratante facial em gel Su:m 37 Water-full Marine Relief Gel Cream 50ml",L96NBEY25,2,516.8,0.08
"Máscara facial I'm From Mugwort Artemisia Mask 110g",QFRY7E866,2,559.6,0.08
"Espuma de limpeza facial Innisfree Volcanic BHA Pore Cleansing Foam 150g",AHVM6933N,2,359.8,0.05
"Protetor solar facial líquido Supergoop Unseen e Glow Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++ Unseen",L9YRU8MXZ,2,379.8,0.06
"Sérum facial Numbuzin Nº 6 Deep Sleep 50ml",EK5R6QK27,2,344.9,0.05
"Sérum facial para manchas com ácido tranexâmico COSRX The Alpha-Arbutin 2 Discoloration Care 50ml",WPUG2A9E6,2,599.8,0.09
"Creme hidratante facial antienvelhecimento Nature Republic Ginseng Royal Silk Watery Cream 60g",EZAXWZQB7,2,768,0.12
"Base Cushion Missha Velvet Finish Cushion SPF50+ PA+++ 15g Nº 21",5RX27GB8G,2,250.19,0.04
"Sérum de peptídeos MEDI-PEEL Peptide 9 Volume Essence 100ml Volume Lifting All in One",JUTYT7CN3,2,568.8,0.09
"Óleo de limpeza facial The Face Shop Rice Water Bright Light Cleansing Oil 150ml",FZTUHZKXM,2,300,0.05
"Tônico facial de colágeno Biodance Bio Collagen Gel e Hydro Cera-Nol Gel Toner Pads 140gx60 Collagen",TFKADA8QQ,2,529.2,0.08
"Bálsamo hidratante em bastão com PDRN de salmão VT Cosmetics PDRN Essence Stick Balm 9.5g",XPYYRF9XX,2,559.72,0.08
"Sérum facial de Ácido Hialuronico Torriden DIVE-IN Low Molecule Hyaluronic Acid Serum 40ml",C8LCA2T7M,2,424.9,0.06
"Filtro solar Cosrx Aloe Soothing Sun Cream SPF50 PA+++ 50ml",3S652U7ZS,2,319,0.05
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 4.5g (Mini) 23N (Areia)",EKU2M8C8Q,2,489.9,0.07
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 17N (Vanilla)",BDKUX4GV9,2,799.8,0.12
"Sérum calmante Beauty of Joseon Calming Serum Green Tea + Panthenol 30ml",29J9UAZ9Z,2,387.07,0.06
"Sérum facial Numbuzin nº 2 Rose PDRN Collagen Plumping Serum 30ml",A45EU9M2N,2,272,0.04
"Sérum de peptídeos MEDI-PEEL Peptide 9 Volume Essence 100ml Volume White Cica",HBRC8NRVF,2,557.8,0.08
"Sérum facial antienvelhecimento KSECRET Seoul 1988 Retinal Liposome 2% + Black Ginseng Serum 30ml",VSAL9SUPZ,2,402.86,0.06
"Creme hidratante facial Aestura Atobarrier 365 Cream 80ml",2LAHUVLBQ,2,441.32,0.07
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 17W (French Vanilla)",PS76CZL5D,2,679.83,0.1
"Tônico facial Anua Peach 77 Niacin Essence Toner",VUWLX9X7C,2,488.8,0.07
"Sérum facial calmante Laneige Phyto-Alexin Hydrating e Calming Ampoule 50ml",T2DKABHVF,2,379.13,0.06
"Creme p/ olhos AHC Youth Lasting Real Eye Cream For Face 30ml",V9DR23KC4,2,369.1,0.06
"Máscara facial Mediheal Essential Facial Sheet Mask 30g Mogongtox Bubble",FH2JV8KF3,2,168,0.03
"Gel creme hidratante calmante AXIS-Y Heartleaf My Type Calming Cream 60ml",QJ7CL569K,2,400,0.06
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 29N (Natural Beige)",DLSGG5R4J,2,679.83,0.1
"Óleo reparador capilar Mise En Scene Perfect Serum 80ml Rose Perfume",LXCGPBLN2,2,399.8,0.06
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 24N (Latte)",FQHZTJ2R9,2,759.81,0.11
"Sérum facial com PDRN Genabelle Edelweiss Lifting Serum 40ml",N6MEUW79W,1,399.8,0.06
"Hidratante facial calmante Farmstay Tea Tree Biome Calming Cream 80ml",9WNP3886G,1,132.9,0.02
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 4.5g (Mini) 40N (Cinnamon)",57AFB5F4J,1,279.9,0.04
"Máscara facial Dr. Jart+ Cryo Rubber Sheet Mask 44g Moisture Acid Hyaluronic",XM8UAYFED,1,134.64,0.02
"Lip tint Gloss Romand Glasting Water Tint 4g 17",HSNM5T3LV,1,99.9,0.02
"Creme hidratante facial Numbuzin nº 1 Pantothenic B5 Active Soothig Cream 80ml",3XFM6NHTZ,1,199.99,0.03
"Máscara facial Rejuran c-PDRN Skin Protection Mask 5 unidades",9R6NRQT45,1,200,0.03
"Máscara facial com PDRN Genabelle PDRN Rejuvenating Mask e Glutathione Brightening Ampoule Mask 30g PDRN Rejuvenating 1 unidade",7PF4CQ3PA,1,80,0.01
"Creme hidratante facial de arroz I'm From Rice Cream 50g",7RHQ2HEDD,1,229.9,0.03
"Sérum facial calmante Some By Mi Propolis B5 Glow Barrier Calming Serum 50ml",BZNPWS6KR,1,199.5,0.03
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 29N (Natural Beige)",PPW35V7SA,1,259,0.04
"Máscara facial Mediheal Retinol Collagen Ampoule Lifting Contour Mask Cream e Ampoule Ampole Contour Mask",2MQY2SDS5,1,98.9,0.01
"Lip Balm hidratante Laneige Lip Glowy Balm Berry Mango e Blueberry 10g Berry",2VW2WPXJ2,1,230,0.03
"Máscara facial moldável VT Cosmetics Reedle Shot Ex Modeling Pack Collagen Cica Hyaluronic Vitamin 25g Collagen",6QG3BZQW6,1,159,0.02
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 31N (French Beige)",WXHK4THM3,1,370.9,0.06
"Protetor solar em bastão AHC Natural Perfection Double Shield Sun Stick SPF50+ PA++++ Blue 14g",ZAQ4PK58M,1,98,0.01
"Máscara facial Numbuzin Nº 9+ NAD Bio Lifting-sil Full Face Mask Set 5 unidades 5 unidades",QZ384Z5GH,1,299.9,0.05
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 4.5g (Mini) 15C (Fair Porcelain)",Q8AB843H7,1,195.93,0.03
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 22N Shell Beige",P9BBK2PRH,1,300,0.05
"Kit Edição Limitada Medicube Collagen Glow Aesthetic Special Set 7pçs",WY69WCA9M,1,689,0.1
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 24N (Latte)",9DKE2VYYH,1,300,0.05
"Tônico facial Mediheal Toner Pads 170ml Branco - Phyto-Enzyme peeling",A3STBPYGG,1,299,0.05
"Lip Tint Romand Juicy Lasting Tint 5.5g 28",4VZL7PBTX,1,87.22,0.01
"Tônico facial de arroz preto I'm From Black Rice Toner 150ml",SKLQDNWKS,1,299.9,0.05
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 28N (Oat)",FWDD2ZEH7,1,259,0.04
"Máscara para olhos Goodal Green Tangerine Vita C Eye Gel Patch",D9MRQHUXR,1,189.9,0.03
"Sérum facial I'm From Mugwort Artemisia Serum 30ml",6W6SANWWG,1,299.9,0.05
"Máscara facial Mary&May Cica Tea Tree Wash Off Mask Pack 125g",EN2NYDDAW,1,240,0.04
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 35N (Walnut)",5L8CFJWWQ,1,399.9,0.06
"Espuma de Limpeza Banila Co Clean It Zero Foam Cleanser 30ml",484MYL77D,1,65,0.01
"Creme hidratante facial com PDRN HEVEBLUE Salmon Caring Centella Cream 100ml",9MMDS8ZNM,1,342,0.05
"Creme p/ olhos Purito Seoul Wonder Releaf Centella Eye Cream Unscented 30ml",P8DPYEQXF,1,159.2,0.02
"Base Cushion Missha Magic Cushion SPF50+ 15g Nº 23",YC4V3QRM7,1,100,0.02
"Sérum facial para manchas e melasma Abib Glutathiosome Dark Spot Serum Vita Drop 50ml",KL746DM5X,1,297.8,0.05
"Sérum facial Essence Cosrx AHA 7 Whitehead Power Liquid 100ml",MMTPRNDWH,1,259.9,0.04
"Protetor solar líquido Goodal Heartleaf Calming Mineral Filter Sun Cream 50ml",RLZGXK238,1,119.94,0.02
"Protetor solar líquido COSRX Ultra-light Invisible Sunscreen SPF 50+ PA+++ 50ml",B3R2TEGUN,1,200,0.03
"Lip Balm hidratante Laneige Lip Glowy Balm Berry Mango e Blueberry 10g Mango",N6ZJVRMJ4,1,230,0.03
"Kit Shampoo Condicionador e Máscara capilar Mise En Scene Perfect Serum 680mlx330ml Condicionador 680ml",W394BZHNU,1,315,0.05
"Sérum facial The Ordinary 100% Organic Cold-Pressed Rose Hip Seed Oil Rosa Mosqueta",VDSZEMKBT,1,189.9,0.03
"Faixa p/ skincare personalizada",CU7CRN3HM,1,0,0
"Sérum facial de Arroz e Ceramidas Anua 7+ Rice Ceramide Hydrating Barrier Serum 50ml",DZNDXSMWD,1,299.9,0.05
"Pó de limpeza facial enzimático Kanebo Suisai Beauty Clear Gold 15 e 32 pcs 32 unidades",QW6L3JWQU,1,299.9,0.05
"Protetor solar Missha All-Around Safe Block Sunscream SPF45/50 Pa+++ 50ml e 70ml Waterproof",GQNAAZF6Z,1,115,0.02
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 13N (Fair Ivory)",W49TL2999,1,279.93,0.04
"Creme hidratante facial calmante I'm From Mugwort Artemisia Cream 50g",7LZUPU6HY,1,198.9,0.03
"Creme facial Numbuzin nº 2X Rose PDRN Collagen Plumping Serum 30ml",PS77FCM69,1,143.88,0.02
"Creme hidratante facial d'Alba White Truffle Double Serum & Cream 70g",XBEKV4VSQ,1,240,0.04
"Sérum facial com retinóide The Ordinary Granactive Retinoid 2% Emulsion 30ml",3W4Q7HUJA,1,230.9,0.03
"Lip Tint Romand Juicy Lasting Tint 5.5g 25",E5T4LUNVC,1,99.9,0.02
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 4.5g (Mini) 29N (Natural Beige)",2G6HCM5DP,1,279.9,0.04
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 13N (Fair Ivory)",2V5KT8Q9L,1,300,0.05
"Espuma de limpeza facial calmante Laneige Phyto-Alexin Hydrating & Calming Cleanser 50g e 150g 150g",EKZQ3MWJP,1,260,0.04
"Óleo de limpeza facial de figo I'm From Fig Cleansing Oil 200ml",DCKAXX2DD,1,270,0.04
"Sérum facial para poros com PDRN de arroz EQQUALBERRY Purple PDRN Pore Minimizing Serum 30ml",NZ2WTC649,1,179.4,0.03
"Espuma de limpeza facial Torriden DIVE-IN Low Molecular Hyaluronic Acid Cleansing Foam 150ml",BSM76LEDH,1,248.9,0.04
"Máscara facial com microagulhamento VT Cosmetics Mild Reedle Shot 50 2Step Mask Sheet 20g 1 unidade",K4CF4UMJ2,1,100,0.02
"Tônico facial Fraijour Retin-Collagen 3D Core Toner 250ml",GY7XAUUTH,1,135,0.02
"Óleo de limpeza facial Bioré Cleansing Oil 250ml",WYS26WHUQ,1,115,0.02
"Sérum facial JUMISO Snail Caracol Mucin 95% + Peptide Essence 140ml",F7PQ8AZJS,1,289.9,0.04
"Gel creme facial hidratante p/ manchas Some by Mi Yuja Niacin Brightening Moisture Gel Cream 100ml",3LPQG836H,1,199.99,0.03
"Shampoo e tratamento &Honey Deep Moist Treatment",4WNHUZC9N,1,700,0.11
"Máscara facial I'm From Mugwort Sheet Mask 23ml 5 unidades",8U78UGCEV,1,180,0.03
"Protetor solar líquido Dr. Ceuracle Hyal Reyouth Moist Sun SPF50 50ml",BS525T87E,1,199,0.03
"Tônico facial LANEIGE Cream Skin Cerapeptide Refiner 50ml",5DBC5SCJY,1,138.9,0.02
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 34N (Pecan)",62XLLRRLQ,1,370.9,0.06
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 21C (Cool Ivory)",FGQAQYAHV,1,300,0.05
"Base Cushion Missha Magic Cushion SPF50+ 15g Nº 21",88LVBBUMZ,1,100,0.02
"Máscara labial e facial noturna Laneige Lip Sleeping Mask Bouncy & Firm 60ml",23DZAFYYS,1,299.9,0.05
"Sérum facial Always Be Pure Marine Therapy Dark Spot Correcting Serum 15ml",F4NCCRX7E,1,130.99,0.02
"Tônico facial de arroz preto Haruharu Wonder Black Rice Hyaluronic Toner Fragrance Free 150ml e 300ml Tônico original (150ml)",TJAE5DV7G,1,200,0.03
"Tônico facial clareador com ácido tranexâmico Anua Niacinamide 5 TXA Brightening Pad 60 pads 180ml",SXL6AUNPL,1,173.4,0.03
"Máscara facial moldável VT Cosmetics Reedle Shot Ex Modeling Pack Collagen Cica Hyaluronic Vitamin 25g Hyaluronic",NV9APM6RY,1,159,0.02
"Creme facial com PDRN VT Cosmetics PDRN Cream 100 50ml",NPW9WWPPZ,1,379.8,0.06
"Creme hidratante para pescoço com colágeno e retinol CKD Retino Collagen Molecule 300 Guasha Neck Cream 50ml Refil",QENR699DD,1,135.93,0.02
"Máscara facial Mary&May Rose Hyaluronic Hydra Wash Off Mask Pack 125g",LGRGHT7BV,1,210,0.03
"Base BB Cream Missha M Perfect Cover 50ml Nº 31 - Bege dourado",WGCRA7JY6,1,150.76,0.02
"Máscara Labial Lip Sleeping Mask EX Berry Laneige 3g",NQ8LQMCK2,1,42,0.01
"Sérum facial e Mist d'Alba White Truffle First Spray Serum 50ml",ZNATWJ4RC,1,199.9,0.03
"Gel hidratante para rosto e corpo de Aloe Holika Holika Aloe 99% Soothing Gel 250ml 250ml",EM67PBUZ3,1,136,0.02
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 21W (Natural Ivory)",Z28HDSRQ2,1,279.93,0.04
"Cleansing Balm CLEAN IT ZERO Banila Co 25g",RELJ6L4RN,1,188.43,0.03
"Máscara facial Numbuzin Sheet Masks nº 1 2 3 4 e 5+ - 33ml Nº 5+ - Vitamin Spotlight",HU48KUJP3,1,169.8,0.03
"Sérum facial com peptídeos TIRTIR Ceramic Milk Ampoule 40ml",74XKWAWRZ,1,299.9,0.05
"Creme hidratante facial iUNIK Centella Calming Gel Cream 60ml",2GBAEQEDC,1,199.8,0.03
"Sérum facial MEDI-PEEL Red Lacto Collagen Ampoule 70ml",NJK5TRU9W,1,247.86,0.04
"Base líquida TIRTIR Mask Fit Red Foundation 30ml 10C (Shell)",FLEZKM34M,1,259,0.04
"Kit Trial TIRTIR Mask Fit Red Cushion Foundation Cushion com 1g 9 sachês",TE3MDUH47,1,98,0.01
"Óleo de limpeza facial Missha Super Off Cleansing Oil Blackhead Dust e Dryness Off Dust Off",57455KBGG,1,279,0.04
"Máscara labial e facial noturna Laneige Lip Sleeping Mask Grapefruit 20g",LQ68SSCRE,1,126,0.02
"Creme hidratante facial AXIS-Y Cera-Heart My Type Duo Cream 60ml",NGCAQFHXP,1,235,0.04
"Base Cushion TIRTIR Mask Fit AI Filter Cushion 18g 21N Ivory",U2WTLN8UE,1,299.8,0.05
"Creme hidratante facial Dr. Jart+ Ceramidin Cream Ultra Moisture Cream 50ml",AFMUYB6S4,1,230,0.03
"Máscara p/ olhos Farmstay Hydrogel Eye Patch Black Snail",HXLS6RDVU,1,129.9,0.02
"Máscara capilar reconstrutora Dr.FORHAIR UNOVE Deep Damage Treatment 100ml",ABXK2ZAZR,1,199.99,0.03
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Pearl",4APBGY6VZ,1,0,0
"Máscara p/ olhos Farmstay Hydrogel Eye Patch Dr. V8 Vitamin",R5T22FGLT,1,125.93,0.02
"Protetor solar Missha All-Around Safe Block Sunscream SPF45/50 Pa+++ 50ml e 70ml Aqua 50",5PJLTDWD5,1,190,0.03
